Time,Elapsed Time,TC01,TC02,TC03,TC04,TC05,TC06,TC07,TC08,TC09,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,TC28,HEATER01,PELTIER01,PELTIER02,STA,PT01,MTR1_OST,MTR1_SPEED,MTR1_POS,MTR1_GRC,MTR2_OST,MTR2_SPEED,MTR2_POS,MTR2_GRC,MTR3_OST,MTR3_SPEED,MTR3_POS,MTR3_GRC,MTR4_OST,MTR4_SPEED,MTR4_POS,MTR4_GRC
12/08/2021 21:19:47.7962,20.008979,19.866321,20.082248,19.646646,20.420888,20.464195,20.322688,20.462111,19.949267,19.904551,20.091978,19.963632,20.087113,20.075298,19.910112,19.885088,20.121630,20.849722,19.939305,19.998384,19.935598,20.432467,20.161010,20.172824,20.162400,20.302769,20.136455,19.925635,20.559373,20.122093,20.556363,20.391938,19.904783,-0.007155,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,2.000000,0.000000,0.000000
12/08/2021 21:19:48.7960,21.008824,19.937915,20.239535,19.777343,20.567710,20.601518,20.405602,20.621895,20.026417,20.031282,20.211739,20.012748,20.185101,20.078078,19.919843,19.869333,20.161473,20.966397,20.035452,20.046340,19.939073,20.477395,20.225637,20.174214,20.137614,20.318982,20.127421,19.908721,20.563773,20.130896,20.574425,20.429920,19.850796,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,2.000000,0.000000,0.000000
12/08/2021 21:19:49.7964,22.009149,19.996762,20.330099,19.844540,20.645976,20.673993,20.453774,20.683255,20.103097,20.060935,20.186723,19.923086,20.073908,19.936525,19.813955,19.774331,20.024795,21.072876,20.080163,20.087345,19.993750,20.503796,20.263625,20.220078,20.183248,20.222395,20.168654,19.948341,20.450532,20.157304,20.599434,20.415329,19.874199,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,2.000000,0.000000,0.000000
12/08/2021 21:19:50.7957,23.008473,20.041475,20.422741,19.929110,20.588782,20.706409,20.469290,20.611706,20.125568,20.017381,20.151976,19.929110,20.040780,19.891576,19.877906,19.825077,20.093136,21.109447,20.106109,20.132517,20.028038,20.532743,20.309254,20.224711,20.213361,20.214287,20.168423,19.913355,20.476932,20.132749,20.584845,20.322688,19.880686,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,2.000000,0.000000,0.000000
12/08/2021 21:19:51.8788,24.091575,19.946024,20.460490,19.909417,20.582530,20.691822,20.487122,20.605917,20.154292,20.111669,20.251580,20.055143,20.134834,19.886479,20.014138,19.946719,20.238840,21.148100,20.031513,20.050278,19.957145,20.523017,20.280533,20.167496,20.142478,20.295357,20.134139,19.929110,20.511901,20.117460,20.552426,20.230965,19.906868,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:52.8392,25.052006,19.869333,20.355576,19.808394,20.642734,20.666352,20.499859,20.640419,20.167959,20.123715,20.284702,20.124410,20.229575,19.940463,20.085260,20.055375,20.295357,21.106901,19.958071,19.966180,19.920770,20.512132,20.247642,20.083175,20.078773,20.393791,20.101012,19.919843,20.578130,20.115143,20.525795,20.152903,19.994909,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:53.7957,26.008447,19.850333,20.273584,19.757879,20.681866,20.670520,20.528343,20.676309,20.182785,20.154756,20.320371,20.204790,20.328246,20.065105,20.116070,20.089430,20.431541,21.059914,19.950426,19.981240,19.952974,20.539921,20.214519,20.045413,20.044255,20.431541,20.058850,19.855662,20.655006,20.056070,20.501017,20.102866,20.022710,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:54.7960,27.008770,19.784758,20.208497,19.687896,20.712198,20.624210,20.534595,20.711966,20.169118,20.141088,20.353955,20.252507,20.437794,20.107499,20.098928,20.110742,20.528343,21.065007,19.898064,19.915209,19.878137,20.601054,20.166106,20.013211,20.026880,20.432467,20.051900,19.854967,20.720070,20.082016,20.522785,20.149891,20.046572,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:55.7963,28.009094,19.846162,20.220542,19.636913,20.755957,20.655701,20.560299,20.781657,20.209886,20.279607,20.438489,20.331026,20.538069,20.176299,20.180931,20.143868,20.638103,21.045100,19.911038,20.029660,19.997457,20.597118,20.197146,20.121861,20.148965,20.476006,20.147111,19.956681,20.753642,20.168886,20.568404,20.327552,20.088040,0.044023,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
12/08/2021 21:19:56.7956,29.008421,19.884857,20.241620,19.580365,20.846250,20.766144,20.589476,20.896023,20.224943,20.403518,20.492217,20.347238,20.575351,20.214751,20.183943,20.175140,20.633472,21.037230,19.941390,20.057692,20.000932,20.648060,20.211971,20.148965,20.171666,20.525332,20.144332,19.935829,20.781888,20.139467,20.560068,20.312033,20.143405,0.018434,71936.000000,0.000000,1.000000,0.000000,6400.000000,0.000000,0.000000,0.000000,4352.000000,0.000000,4294967295.000000,0.000000,71936.000000,1.000000,0.000000,0.000000
